name,pop,cases_day,cases_week,rate_day,rate_week,trend,deaths_day,"New Deaths
Last 7 Days",Death Rate,Trend2,lockdown
Leeds,"789,194",549,"2,806",50.79,355.55,▲,,,0.63,➖,Area of Intervention
North East Lincolnshire,"159,821",21,96,8.58,60.07,▲,,,0.63,➖,No Additional Restrictions
North Lincolnshire,"172,005",28,144,11.96,83.72,▲,,,0.58,➖,No Additional Restrictions
Richmondshire,"53,244",9,69,18.51,129.59,▲,,,0.00,➖,No Additional Restrictions
Rotherham,"264,671",86,481,25.96,181.74,▲,,,1.13,➖,Area of Concern
Ryedale,"54,920",8,47,12.23,85.58,▲,,,3.64,➖,No Additional Restrictions
Scarborough,"108,736",14,99,13.01,91.05,▲,,,0.00,➖,Area of Concern
Selby,"89,106",21,84,13.47,94.27,▲,,,0.00,➖,Area of Concern
Sheffield,"582,506",415,"1,871",45.89,321.20,▲,,,1.89,➖,Enhanced Support
Wakefield,"345,038",100,506,20.95,146.65,▲,,,0.58,➖,Area of Concern
York,"209,893",76,329,22.39,156.75,▲,,,-0.48,➖,No Additional Restrictions
West Midlands,,,,,,,,,,,
Birmingham,"1,141,374",293,"1,897",23.74,166.20,▲,,,2.72,➖,Area of Intervention
Bromsgrove,"98,662",14,91,13.18,92.23,▲,,,0.00,➖,No Additional Restrictions
Cannock Chase,"100,109",12,53,7.56,52.94,▲,,,1.00,➖,No Additional Restrictions
Coventry,"366,785",76,385,15.00,104.97,▲,,,0.55,➖,No Additional Restrictions
Dudley,"320,626",32,242,10.78,75.48,▲,,,0.62,➖,No Additional Restrictions
East Staffordshire,"118,574",7,61,7.35,51.44,▲,,,5.90,➖,No Additional Restrictions
"Herefordshire, County of","192,107",11,39,2.90,20.30,▲,,,1.04,➖,No Additional Restrictions
Lichfield,"103,965",16,77,10.58,74.06,▲,,,1.92,➖,No Additional Restrictions
Malvern Hills,"78,113",7,38,6.95,48.65,▲,,,0.00,➖,No Additional Restrictions
Newcastle-under-Lyme,"129,490",22,131,14.45,101.17,▲,,,0.77,➖,No Additional Restrictions
North Warwickshire,"64,850",12,38,8.37,58.60,▲,,,0.00,➖,No Additional Restrictions
Nuneaton and Bedworth,"128,902",19,87,9.64,67.49,▲,,,0.00,➖,No Additional Restrictions
Redditch,"84,989",4,39,6.56,45.89,▲,,,0.00,➖,No Additional Restrictions
Rugby,"107,194",19,94,12.53,87.69,▲,,,0.00,➖,No Additional Restrictions
Sandwell,"327,378",60,412,17.98,125.85,▲,,,2.14,➖,Area of Intervention
Shropshire,"320,274",28,209,9.32,65.26,▲,,,0.31,➖,No Additional Restrictions
Solihull,"214,909",28,236,15.69,109.81,▲,,,2.33,➖,Area of Intervention
South Staffordshire,"112,126",19,101,12.87,90.08,▲,,,1.78,➖,No Additional Restrictions
Stafford,"135,880",20,149,15.67,109.66,▲,,,0.00,➖,No Additional Restrictions
Staffordshire Moorlands,"98,397",11,50,7.26,50.81,▲,,,0.00,➖,No Additional Restrictions
Stoke-on-Trent,"255,833",28,173,9.66,67.62,▲,,,0.39,➖,No Additional Restrictions
Stratford-on-Avon,"127,580",21,80,8.96,62.71,▲,,,0.00,➖,No Additional Restrictions
Tamworth,"76,678",8,35,6.52,45.65,▲,,,0.00,➖,No Additional Restrictions
Telford and Wrekin,"177,799",14,108,8.68,60.74,▲,,,0.00,➖,No Additional Restrictions
Walsall,"283,378",57,336,16.94,118.57,▲,,,0.35,➖,No Additional Restrictions
Warwick,"142,484",15,72,7.22,50.53,▲,,,0.70,➖,No Additional Restrictions
Wolverhampton,"262,008",26,205,11.18,78.24,▲,,,0.76,➖,Area of Intervention
Worcester,"101,891",7,69,9.67,67.72,▲,,,0.00,➖,No Additional Restrictions
Wychavon,"127,340",13,84,9.42,65.97,▲,,,1.57,➖,No Additional Restrictions
Wyre Forest,"101,062",7,54,7.63,53.43,▲,,,1.98,➖,No Additional Restrictions
South West,,,,,,,,,,,
Bath and North East Somerset,"192,106",27,105,7.81,54.66,▲,,,0.00,➖,No Additional Restrictions
"Bournemouth, Christchurch and Poole","395,784",48,199,7.18,50.28,▲,,,0.25,➖,No Additional Restrictions
"Bristol, City of","463,405",41,234,7.21,50.50,▲,,,0.43,➖,No Additional Restrictions
Cheltenham,"117,090",8,48,5.86,40.99,▲,,,0.00,➖,No Additional Restrictions
Cornwall and Isles of Scilly,"568,210",26,181,4.55,31.85,▲,,,0.18,➖,No Additional Restrictions
Cotswold,"89,022",5,27,4.33,30.33,▲,,,-1.12,➖,No Additional Restrictions
Dorset,"426,516",16,84,2.81,19.69,▲,,,0.00,➖,No Additional Restrictions
East Devon,"144,317",11,40,3.96,27.72,▲,,,0.69,➖,No Additional Restrictions
Exeter,"130,428",128,360,39.43,276.01,▲,,,0.00,➖,No Additional Restrictions
Forest of Dean,"86,543",2,27,4.46,31.20,▲,,,0.00,➖,No Additional Restrictions
Gloucester,"129,285",11,49,5.41,37.90,▲,,,0.00,➖,No Additional Restrictions
Mendip,"114,881",3,33,4.10,28.73,▲,,,0.00,➖,No Additional Restrictions
Mid Devon,"81,695",1,20,3.50,24.48,▲,,,0.00,➖,No Additional Restrictions
North Devon,"96,110",4,19,2.82,19.77,▲,,,0.00,➖,No Additional Restrictions
North Somerset,"213,919",12,63,4.21,29.45,▲,,,1.87,➖,No Additional Restrictions
Plymouth,"263,100",13,89,4.83,33.83,▲,,,1.52,➖,No Additional Restrictions
